trip_id,duration,start_date,start_id,end_date,weekday,end_id,bike_id,type
913160,537,8/31/2015 18:23,76,8/31/2015 18:32,1,70,274,Subscriber
913159,241,8/31/2015 18:22,55,8/31/2015 18:26,1,74,470,Subscriber
913158,1152,8/31/2015 18:22,68,8/31/2015 18:41,1,59,420,Subscriber
913157,331,8/31/2015 18:21,57,8/31/2015 18:26,1,69,407,Subscriber
913156,176,8/31/2015 18:20,65,8/31/2015 18:23,1,69,508,Subscriber
913155,296,8/31/2015 18:20,45,8/31/2015 18:25,1,68,877,Subscriber
913153,305,8/31/2015 18:20,61,8/31/2015 18:25,1,62,621,Subscriber
913152,267,8/31/2015 18:19,77,8/31/2015 18:24,1,50,475,Subscriber
913151,399,8/31/2015 18:18,32,8/31/2015 18:25,1,28,175,Subscriber
913150,534,8/31/2015 18:18,55,8/31/2015 18:27,1,69,431,Subscriber
913149,599,8/31/2015 18:17,42,8/31/2015 18:27,1,71,489,Subscriber
913148,667,8/31/2015 18:17,68,8/31/2015 18:29,1,74,579,Customer
913147,353,8/31/2015 18:17,39,8/31/2015 18:23,1,75,469,Subscriber
913146,456,8/31/2015 18:16,60,8/31/2015 18:24,1,50,583,Subscriber
913145,461,8/31/2015 18:16,62,8/31/2015 18:24,1,69,606,Subscriber
913144,990,8/31/2015 18:15,82,8/31/2015 18:31,1,70,527,Subscriber
913142,356,8/31/2015 18:15,82,8/31/2015 18:21,1,55,589,Subscriber
913141,446,8/31/2015 18:14,77,8/31/2015 18:22,1,69,517,Subscriber
913140,523,8/31/2015 18:14,63,8/31/2015 18:23,1,69,66,Subscriber
913138,516,8/31/2015 18:14,71,8/31/2015 18:22,1,63,465,Customer
913137,763,8/31/2015 18:13,66,8/31/2015 18:26,1,69,368,Subscriber
913136,434,8/31/2015 18:13,58,8/31/2015 18:20,1,76,332,Subscriber
913135,399,8/31/2015 18:13,62,8/31/2015 18:19,1,41,421,Subscriber
913134,231,8/31/2015 18:12,4,8/31/2015 18:16,1,2,688,Subscriber
913133,1058,8/31/2015 18:11,48,8/31/2015 18:29,1,75,325,Customer
913131,829,8/31/2015 18:09,50,8/31/2015 18:23,1,69,403,Subscriber
913130,469,8/31/2015 18:10,26,8/31/2015 18:17,1,22,690,Subscriber
913129,969,8/31/2015 18:09,42,8/31/2015 18:25,1,69,353,Subscriber
913128,384,8/31/2015 18:08,68,8/31/2015 18:15,1,70,560,Subscriber
913127,1139,8/31/2015 18:08,70,8/31/2015 18:27,1,60,385,Subscriber
913126,504,8/31/2015 18:08,39,8/31/2015 18:16,1,74,411,Subscriber
